Factura electrónica;;;;;;;;;;;;;;;;;;;;;;;;
Generado a las 08:21hs del 1/28/2026;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
ptovta;factura;cae;fechafc;caja;cajanom;fecha;cliente;bimp;iva;importe;efectivo;merpag;tarjetas;otros;noche;hora;ticket;orden;ndoc;tdoc;id;estado;tipo;tcom
19;1742;86041240737672;2026-01-25;01;BOLETERIA  GENERAL 1;2026-01-25;A Consumidor Final;24793,39;5206,61;30000;0;0;30000;0;SA24/01/2026;02:12;4553;4548;0;99;MUVzWkZuWHJHZTJ4ZTVZdU14Q1VOLzlSWThqN01vSEc2WFE2NHhRMDdqVT0=;aprobado;Boleterias;Factura B
19;1743;86041240769987;2026-01-25;01;BOLETERIA  GENERAL 1;2026-01-25;A Consumidor Final;16528,93;3471,07;20000;0;0;20000;0;SA24/01/2026;02:14;4554;4549;0;99;Y0RKTnZCeU5sNFdqT201b0VuMHUwdjlSWThqN01vSEc2WFE2NHhRMDdqVT0=;aprobado;Boleterias;Factura B
19;1744;86041240784844;2026-01-25;01;BOLETERIA  GENERAL 1;2026-01-25;A Consumidor Final;33057,85;6942,15;40000;0;0;40000;0;SA24/01/2026;02:15;4555;4550;0;99;TUt3RWlIYzA4RzROVVlkMTBvSTFSUDlSWThqN01vSEc2WFE2NHhRMDdqVT0=;aprobado;Boleterias;Factura B
19;1745;86041240798579;2026-01-25;01;BOLETERIA  GENERAL 1;2026-01-25;A Consumidor Final;16528,93;3471,07;20000;0;0;20000;0;SA24/01/2026;02:16;4556;4551;0;99;aWx6V1d2Umc3ckNnTnN5azVmdDZidjlSWThqN01vSEc2WFE2NHhRMDdqVT0=;aprobado;Boleterias;Factura B
19;1746;86041240811871;2026-01-25;01;BOLETERIA  GENERAL 1;2026-01-25;A Consumidor Final;8264,46;1735,54;10000;0;0;10000;0;SA24/01/2026;02:16;4557;4552;0;99;OFV1Um9TRWxrYkV2UW81OTcyMnoxLzlSWThqN01vSEc2WFE2NHhRMDdqVT0=;aprobado;Boleterias;Factura B
19;1747;86041240827391;2026-01-25;01;BOLETERIA  GENERAL 1;2026-01-25;A Consumidor Final;33057,85;6942,15;40000;0;0;40000;0;SA24/01/2026;02:17;4558;4553;0;99;UW93WkhlOU5VZ21NTXdxTzU1dXF3ZjlSWThqN01vSEc2WFE2NHhRMDdqVT0=;aprobado;Boleterias;Factura B
19;1748;86041240837577;2026-01-25;01;BOLETERIA  GENERAL 1;2026-01-25;A Consumidor Final;8264,46;1735,54;10000;0;0;10000;0;SA24/01/2026;02:18;4559;4554;0;99;M2l6ZkZKNmczcUJ3TnIwVVFvemxPZjlSWThqN01vSEc2WFE2NHhRMDdqVT0=;aprobado;Boleterias;Factura B
19;1749;86041240846870;2026-01-25;01;BOLETERIA  GENERAL 1;2026-01-25;A Consumidor Final;8264,46;1735,54;10000;0;0;10000;0;SA24/01/2026;02:18;4560;4555;0;99;aUYvNFdCNzBINmpqVzB2S3dhQnFNZjlSWThqN01vSEc2WFE2NHhRMDdqVT0=;aprobado;Boleterias;Factura B
19;1750;86041240856967;2026-01-25;01;BOLETERIA  GENERAL 1;2026-01-25;A Consumidor Final;41322,31;8677,69;50000;0;0;50000;0;SA24/01/2026;02:19;4561;4556;0;99;SWU4akRwQUJDQmRSRHBhYTk3cFFHUDlSWThqN01vSEc2WFE2NHhRMDdqVT0=;aprobado;Boleterias;Factura B
19;1751;86041240891419;2026-01-25;01;BOLETERIA  GENERAL 1;2026-01-25;A Consumidor Final;16528,93;3471,07;20000;0;0;20000;0;SA24/01/2026;02:21;4562;4557;0;99;QmxMUXF0YmdsdEk5MjNNSC8zWkJ4ZjlSWThqN01vSEc2WFE2NHhRMDdqVT0=;aprobado;Boleterias;Factura B
